Vendor name,Category,Website link,Description,Status,Risk,Tier
1Password,Software,https://1password.com/,"1Password is a secure, scalable, and easy-to-use password manager that's trusted by the world's leading companies. Using 1Password makes it easy for your employees to stay safe online. Once 1Password is part of their workflow, good security habits will become second nature. 1Password Advanced Protection is now available with 1Password Business. Set Master Password policies, enforce two-factor authentication team-wide, restrict access with firewall rules, review sign-in attempts and require your team to use the latest version of 1Password. Our award-winning apps are available for Mac, iOS, Linux, Windows, and Android. 1Password syncs seamlessly across devices, so your employees always have access to their passwords. When everyone uses 1Password, your risk goes down — and your productivity goes up.",1,High,Tier 3
4Imprint,Other,https://www.4imprint.com/,"Find the perfect custom printed gifts for business branding, saying thanks, or awarding excellence! ",2,High,Tier 3
"LeadIQ, Inc",Software,https://leadiq.com/,"Prospecting should be fun and easy. Sadly, many sales reps hate prospecting. That's why we built LeadIQ. LeadIQ eliminates the most annoying parts of prospecting, helping sales reps get new deals with less work. The average sales rep only spends 1/4 of their time actually prospecting. That's because reps spend their days looking up prospects in Salesforce, researching them on the web, finding lead contact info, and doing manual data entry. That's not why you hired your sales team, it's not why they work in sales, and it just isn't a good use of anyone's time. With millions of emails, phone numbers, titles, and accounts, our prospecting platform makes it easy to focus on your pitch and build relationships, without sacrificing a clean Salesforce. To see what experiments we're trying in prospecting, or try out platform, visit http://leadiq.com",1,High,Tier 3
Airtable,Software,https://airtable.com/,"Airtable is a software platform that empowers people to build the solutions they need to drive innovation and increase agility within their teams. Airtable puts the power of a flexible database into the hands of creators. We've raised over $170M in funding and have over 170,000 organizations running mission-critical processes and workflows on Airtable. At first glance, Airtable looks a lot like a spreadsheet, but we are much more powerful. Our building blocks enable teams to model the things they work on, define relationships between things, and create views explicitly tailored for their type of work. Airtable allows teams to adapt their software when markets evolve, or goals change. We increase agility by providing transparency and visibility to collaborators and managers. Best of all, we allow teams to solve a broad set of use cases without IT resources. Try out Airtable today and see why so many organizations are switching to Airtable from spreadsheets and rigid project management tools.",2,High,Tier 3
ADP Payroll,Software,https://www.adp.in/,"ADP India is a subsidiary of ADP. At ADP India, we offer end-to-end payroll and compliance solutions to businesses of all types and sizes.",1,High,Tier 3
"Adaptive Insights, Inc.",Software,https://www.adaptiveplanning.com/,"At Workday, we’re powering a new generation of enterprise planning and analysis. Driving business agility in a fast-moving world, Workday Adaptive Planning helps people gain insights, collaborate, and make smarter decisions, faster. Powerful modeling and analytics for any size organization, yet so easy for anybody who plans. Our planning cloud application enables organizations of all sizes to adapt to a changing world and shifting business conditions with confidence and agility. Workday ranks #1 in customer satisfaction in independent industry surveys from leading market analysts such as Gartner, Forrester, and BPM Partners.",1,High,Tier 3
101Domain,Software,https://www.101domain.com/,"101domain helps corporations create, maintain, and protect their online presence with our Corporate Domain Service, which includes domain registration and management, as well as legal resources that inform them of any pertinent law changes, and refer them to lawyers who specialize in various domain-related issues. But corporations are not the only ones to benefit from our powerful domain management tools and long years of industry experience. Even personal websites can see a huge benefit from protecting themselves online and developing a truly well thought out domain name strategy.",1,High,Tier 3
Algolia,Software,https://www.algolia.com/,"Algolia is a hosted search platform with unique differentiators for all important aspects of search. User Experience: Algolia is designed from the ground up to maximize the speed of search and solve the pain of relevance tuning. Accessing the right piece of content on websites and apps has never been faster or more intuitive. Developer Experience: Algolia is an API-centric company with comprehensive documentation and support provided by software engineers. We love to work with developers to push the search experience beyond its traditional limits. Infrastructure: With 70 data centers in 16 regions, Algolia serves billions of queries weekly in under 50 ms for more than 8,000 customers, including many Fortune 500 companies. Algolia is highly scalable and reliable, with a 99.99% SLA and both server and provider redundancy.",2,High,Tier 3
Amazon.com,Software,http://www.amazon.com/,"Free delivery on millions of items with Prime. Low prices across earth's biggest selection of books, music, DVDs, electronics, computers, software, apparel & accessories, shoes, jewelry, tools & hardware, housewares, furniture, sporting goods, ...",1,High,Tier 3
Bitly,Software,https://bitly.com/,"Bitly is used by businesses around the world to build stronger connections with their customers across every digital channel. Our complete Link Management Platform empowers influencers and businesses of every size to embed short, branded call-to-action links in their communications using tools, analytics, and insights to maximize the impact of every digital initiative.",1,High,Tier 3
Robert Half,"Consulting, staffing, and professional services",https://www.roberthalf.com/,"Robert Half connects employers & job seekers to staff positions in finance, law, technology & more.",2,High,Tier 3
"Accelerated Tech, Inc","Consulting, staffing, and professional services",https://accelerated.tech/,"Accelerated Tech brings our expert knowledge to help you solve your low-level systems engineering challenges.",1,High,Tier 3
Accountemps,"Consulting, staffing, and professional services",https://www.roberthalf.com/,"Accountemps specializes in providing businesses with skilled finance and accounting professionals on a temporary and temporary-to-hire basis.",2,High,Tier 3
Adobe Inc.,,,,1,High,Tier 3
"Advanced HR, Inc.",Software,https://www.advanced-hr.com/,"The leader in private company compensation. Compensation data, planning and management. All in a cloud-based platform. Request Demo ...",1,High,Tier 3
American Express,Other,https://www.americanexpress.com/,"American Express offers world-class Charge and Credit Cards, Gift Cards, Rewards, Travel, Personal Savings, Business Services, Insurance and more.",2,High,Tier 3
Anthem,"Consulting, staffing, and professional services",https://www.anthem.com/,"Official Site of Anthem Blue Cross Blue Shield, a trusted health insurance plan provider. Shop plans for Medicare, Medical, Dental, Vision & Employers.",1,High,Tier 3
AT&T,"Consulting, staffing, and professional services",https://www.att.com/,"We understand that our customers want an easier, less complicated life. We’re using our network, labs, products, services and people to create a world where everything works together seamlessly, and life is better as a result.  How will we continue to drive for this excellence in innovation? With you. Our people, and their passion to succeed, are at the heart of what we do. Today, we’re poised to connect millions of people with their world, delivering the human benefits of technology in ways that defy the imaginable.",2,High,Tier 3
"Bank of America, N.A.","Consulting, staffing, and professional services",https://www.bankofamerica.com/,"Bank of America is one of the world's largest financial institutions, serving individuals, small- and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. The company serves approximately 56 million U.S. consumer and small business relationships. It is among the world's leading wealth management companies and is a global leader in corporate and investment banking and trading.",1,High,Tier 3
"BetterCloud, Inc",Software,https://www.bettercloud.com/,"BetterCloud is the leading SaaSOps platform that enables IT professionals to discover, manage and secure the growing stack of SaaS applications in the digital workplace. With an expanding ecosystem of SaaS integrations, thousands of forward thinking organizations like Zoom, Walmart, and Square now rely on BetterCloud to automate processes and policies across their cloud application portfolio. ",1,Medium,Tier 2
"Betts Recruiting, Inc","Consulting, staffing, and professional services",https://bettsrecruiting.com/,"Betts Recruiting is the leading recruitment firm for revenue generating, marketing and people operations roles. Since 2009 we have partnered with the biggest names across sectors offering a customized approach to every search. We’ve established networks of genuine relationships that allow us to source the highest-quality talent and execute quickly. With locations in San Francisco, New York, Austin, Chicago, and Los Angeles, we work Nationwide, to help you build your organization, and to guide talent into an exciting career, faster and smarter",2,Medium,Tier 2
Bill.com,Software,https://www.bill.com/,"Bill.com is a leading provider of cloud-based software that simplifies, digitizes, and automates complex, back-office financial operations for small and midsize businesses. Customers use the Bill.com platform to manage end-to-end financial workflows and to process payments. The Bill.com AI-enabled, financial software platform creates connections between businesses and their suppliers and clients. It helps manage cash inflows and outflows. The company partners with several of the largest U.S. financial institutions, including the majority of the top 100 U.S. accounting firms, and popular accounting software providers. Bill.com has offices in Palo Alto, California and Houston, Texas",1,Medium,Tier 2
"Bitpay, Inc.",Software,https://bitpay.com/,"The first and most experienced company in bitcoin payments, BitPay builds powerful tools for spending, accepting, and building with bitcoin. The company has offices in North America, Europe, and South America and has raised over $70 million from top investors including Index Ventures, Aquiline Technology Growth, Menlo Ventures, Founders Fund, and Sir Richard Branson.",2,Medium,Tier 2
Blue Cross Blue Shield,"Consulting, staffing, and professional services",https://www.bcbs.com/,"Blue Cross Blue Shield Association is a national federation of 36 independent, community-based and locally operated Blue Cross and Blue Shield companies that collectively provide health care coverage for one in three Americans. BCBSA provides health care insights through The Health of America Report series and the national BCBS Health Index.",1,Medium,Tier 2
Booker Software,Software,https://www.booker.com/,"Booker by MINDBODY is transforming the way local services are managed by businesses and discovered by consumers. Booker replaces everything from manual methods to disconnected software, and unifies the essential components of running a service business into a single web-based platform, accessible from any device. Booker by MINDBODY also enables service business to sell their services online, through their website and a network of partner sites and apps, creating a seamless online booking experience for consumers. Booker by MINDBODY processes over one million appointments each month across 70 countries. Headquartered in New York City, Booker by MINDBODY's customers include thousands of local service businesses as well as Fortune 500 companies. ",2,Medium,Tier 2
Boomerang,Other,https://www.boomerang.com/,"Boomerang is a way for you to watch all your favorite cartoons like Scooby Doo, Looney Tunes, Tom & Jerry & more! With over 4,000 titles streaming on your iPad, iPhone, desktop or Android device.",1,Medium,Tier 2
Braze Inc.,Software,https://www.braze.com/,"Braze is a comprehensive customer engagement platform that powers relevant and memorable experiences between consumers and the brands they love. Context underpins every Braze interaction, helping brands foster human connection with consumers through interactive conversations across channels that deliver value quickly and continuously. The company was named a Leader in Forrester's 2020 Mobile Engagement Automation Wave™ report and was recognized as one of Inc. Magazine's Best Workplaces two years in a row. Braze is headquartered in New York with offices in Chicago, London, San Francisco, Singapore, and Tokyo. Learn more at braze.com.",1,Medium,Tier 2
BrightTALK,Software,https://www.brighttalk.com/,"BrightTALK brings professionals and businesses together to learn and grow. Thousands of thought leaders are actively sharing their insights, their ideas and their most up-to-date knowledge with professionals all over the globe through the technologies that BrightTALK has created. At BrightTALK, we believe people learn the most when they hear directly from those who know the subject best, and we believe that this experience is enhanced through a dialog between speakers and the audience. Our online event tools offer a dynamic environment for everyone involved. It is the interactions we witness and the advancement of knowledge in our online communities that excites us the most.",2,Medium,Tier 2
Browserstack.com,Software,https://www.browserstack.com/,"BrowserStack is the most reliable web and mobile app testing platform on the market, used by more than 2 million developers across 135 countries. We empower teams to speed up release cycles and deploy websites and mobile applications that work seamlessly on any user interface. Users can choose from more than 2,000 on-demand real mobile devices, browsers and operating systems and rely on a secure, stable and scalable infrastructure to support thousands of concurrent manual and automated tests. By reducing the time, cost and maintenance overhead associated with testing, we help software teams keep focus on what matters most - building better products and services with amazing experiences.",1,Medium,Tier 2
"Business Wire, Inc","Consulting, staffing, and professional services",https://www.businesswire.com/,"Business Wire, a wholly owned subsidiary of Berkshire Hathaway, is the global market leader in commercial news distribution. Thousands of member companies and organizations depend on Business Wire to transmit their full-text news releases, regulatory filings, photos and other multimedia content to journalists, financial professionals, investor services, regulatory authorities and the general public worldwide.",2,Medium,Tier 2
"Bytecode IO, Inc.","Consulting, staffing, and professional services",https://bytecode.io/,"Bytecode IO is a consulting company focused on helping businesses make the best use of the valuable data they collect. With over a decade of experience helping customers deploy scalable, reliable and cost effective data analysis and business intelligence solutions in the cloud, Bytecode IO has helped hundreds of clients unlock value from their data to deliver business insights.",1,Medium,Tier 1
Calendly LLC.,Software,https://calendly.com/,"At Calendly, we are excited about changing the way the world schedules. We are a profitable company, offering ample opportunities to accelerate your career. We’re obsessed with providing an elegant, delightful experience for our customers. This shapes how we develop, design, market and support. We work hard, move fast and pitch in across departments—and always make time to celebrate our accomplishments. Join a diverse workforce, leading the way in scheduling automation. Calendly, a powerful yet simple automated scheduling tool, takes the work out of connecting with others so you can accomplish more. Millions of users benefit from an enjoyable scheduling experience, more time to spend on top priorities and flexibility to accommodate individual users and large teams alike. Calendly works with Google, Office 365 and Outlook calendars and apps like Salesforce, Stripe, PayPal, Google Analytics, GoToMeeting and Zapier for a seamless user experience.",2,Medium,Tier 1
Canary LLC,"Consulting, staffing, and professional services",https://canaryusa.com/,"Based in Denver, CO, Canary, LLC is one of the nation’s largest independently held oilfield service companies. Canary provides comprehensive oilfield drilling and production services in every major shale play, including Bakken, Niobrara, Utica and the Permian Basin. Canary continues to expand its range of services to diverse companies of all sizes and includes a strong American Petroleum Institute (API) manufacturing arm that provides timely, innovative and customized solutions. Canary is Unleashing America’s Energy one well at a time.",1,Medium,Tier 1
CaptivateIQ,Software,https://www.captivateiq.com/,"CaptivateIQ is on a journey to modernize the world of incentive compensation. Our hope is that people will feel more connected at work if there is greater transparency in how they are rewarded for their efforts. We partner with amazing companies like Carta, Intercom, Gong, and Newfront Insurance to simplify their commissions. Since launching in 2017, we have raised $17M and are backed by leading investors including Sequoia Capital, S28 Capital, Amity Ventures, and Y Combinator.",1,Medium,Tier 1
"Carta, Inc.",Software,https://carta.com/,"We’re on a mission to create more owners. By building the global ownership management platform, we’re changing how companies, investors, law firms, and employees manage equity. Our team is focused on converging private and public markets and mapping and connecting the global ownership network. We all believe we are building a generational company, that will change how ownership and finance works.",1,Low,Tier 1
Cater2me,"Consulting, staffing, and professional services",https://cater2.me/,"Cater2.me has transformed culture and cultivated community at thousands of companies through millions of shared culinary experiences. Our custom meal programs connect companies with authentic, local food providers, from top chefs and restaurants to popular neighborhood food trucks. We leverage personalized customer service, high quality standards, and tailor-made technology solutions to provide memorable experiences to clients and budgets of all sizes.",2,Low,Tier 1
CDW,"Consulting, staffing, and professional services",https://www.cdw.com/,"CDW (Nasdaq:CDW) is a leading multi-brand technology solutions provider to business, government, education and healthcare organizations in the United States, the United Kingdom and Canada. A Fortune 500 company and member of the S&P 500 Index, CDW features dedicated account managers who help customers choose the right technology products and services to meet their needs. The company’s solution architects offer expertise in designing customized solutions, while its advanced technology engineers assist customers with the implementation and long-term management of those solutions. Areas of focus include software, network communications, notebooks/mobile devices, data storage, video monitors, desktops, printers and solutions such as virtualization, collaboration, security, mobility, data center optimization and cloud computing. CDW was founded in 1984 and employs approximately 10,000 coworkers. For the trailing twelve months ended September 30, 2020, CDW generated Net sales over $18 billion.",1,Low,Tier 1
"Celigo, Inc.",Software,https://www.celigo.com/,"Celigo is the complete integration platform (iPaaS) that makes integration easy and simple, enabling businesses of all sizes to integrate their systems. Thousands of companies rely on us to synchronize data, automate processes, and streamline operations by integrating their cloud applications. Celigo’s integrator.io iPaaS platform empowers both business and IT users to easily integrate any cloud application. Integrator.io offers business users a guided user interface and templates with pre-packaged flows so they can configure, add customized business logic and manage integrations without writing a line of code.  For IT users, integrator.io is a powerful platform to build complex business automation flows including the ability to add custom JavaScript. Celigo also features Integration Apps, a suite of pre-built, fully managed integration applications built on the integrator.io iPaaS platform for popular cloud applications, such as Salesforce, Shopify, Amazon, Zendesk, NetSuite and many more. Visit www.celigo.com to learn more.",2,Low,Tier 1
Century Graphics,"Consulting, staffing, and professional services",https://www.cgshirts.com/,"Century Graphics has been serving the Bay Area and the Nation since 1986. Many of our customers stay with us for over twelve years or more, and they refer their friends and family to us. We serve Startups, Colleges, Dorms, High Schools, Events, Church Groups, Competitive Sporting Events, Sports Teams, and more. In Busines for over 25 years, our expertise has been built up around custom apparel printing, embroidery and promotional products. We have a fully staffed art department, friendly customer service representatives, and experienced printers - some who have been with us for over 10 years. We have built our reputation as a company that cares about art, quality and deadlines. Most of our customers are repeat or referral and after your first order, we are sure you will discover why. We guarantee 100% satisfaction with every order. Give us a call or email to get started!",1,Low,Tier 1
CenturyLink,"Consulting, staffing, and professional services",https://www.centurylink.com/,"At CenturyLink's official site, find digital solutions for your home or business including Internet, Phone, TV, Managed IT, Cloud and Network Security services.",2,Low,Tier 1
